,,cut_cost,cut_cost,cut_cost,cut_cost,heuristic_time,heuristic_time,heuristic_time,heuristic_time,workload_id
,,mean,std,min,max,mean,std,min,max,count
model,num_qubits,,,,,,,,,
MBQC,382,0.2,0.4472,0,1,0.0579,0.0309,0.0298,0.0973,5
MBQC,392,0.4,0.8944,0,2,0.0604,0.0113,0.0442,0.072,5
MBQC,402,0.0,0.0,0,0,0.0683,0.024,0.0482,0.1022,5
MBQC,412,0.2,0.4472,0,1,0.055,0.0117,0.041,0.0694,5
MBQC,422,1.8,2.49,0,5,0.0593,0.0191,0.04,0.084,5
MBQC,432,0.2,0.4472,0,1,0.0599,0.0216,0.0323,0.0835,5
MBQC,442,8.0,17.8885,0,40,0.1751,0.2449,0.0284,0.6101,5
MBQC,452,3.8,7.4297,0,17,0.0925,0.0637,0.0448,0.204,5
MBQC,462,0.4,0.8944,0,2,0.0678,0.0219,0.0396,0.0999,5
MBQC,472,0.2,0.4472,0,1,0.0702,0.0248,0.0331,0.0967,5
MBQC,482,7.2,6.7602,0,17,0.0579,0.0219,0.0436,0.0964,5
MBQC,492,0.2,0.4472,0,1,0.0747,0.0251,0.0501,0.1014,5
MBQC,502,0.6,1.3416,0,3,0.079,0.0199,0.0563,0.1039,5
MBQC,512,0.2,0.4472,0,1,0.0787,0.0238,0.058,0.1123,5
MBQC,522,2.4,5.3666,0,12,0.1203,0.0678,0.0426,0.2176,5
MBQC,532,0.2,0.4472,0,1,0.1385,0.0757,0.0897,0.2721,5
MBQC,542,2.6,5.8138,0,13,0.0716,0.0149,0.0545,0.0955,5
MBQC,552,1.2,2.6833,0,6,0.1016,0.043,0.0433,0.1496,5
MBQC,562,0.0,0.0,0,0,0.1002,0.0219,0.0769,0.1301,5
MBQC,572,4.6,8.2341,0,19,0.0747,0.0283,0.0455,0.117,5
MBQC,582,0.2,0.4472,0,1,0.1075,0.0353,0.0705,0.1572,5
MBQC,592,0.8,1.7889,0,4,0.0978,0.0258,0.0675,0.1318,5
MBQC,602,4.0,6.7823,0,16,0.0935,0.0446,0.0395,0.1487,5
MBQC,612,0.0,0.0,0,0,0.1178,0.0227,0.0942,0.1437,5
MBQC,622,1.0,1.7321,0,4,0.1064,0.0246,0.0706,0.1343,5
MBQC,632,0.4,0.5477,0,1,0.1215,0.0173,0.0964,0.1422,5
MBQC,642,0.0,0.0,0,0,0.1343,0.06,0.0696,0.1958,5
MBQC,652,1.2,2.6833,0,6,0.0923,0.0211,0.0699,0.1229,5
MBQC,662,1.0,1.2247,0,3,0.1193,0.0344,0.0731,0.1534,5
MBQC,672,2.4,4.3359,0,10,0.1262,0.0576,0.0632,0.2106,5
MBQC,682,1.8,2.49,0,6,0.131,0.0353,0.0998,0.1853,5
MBQC,692,16.0,35.7771,0,80,0.3947,0.5668,0.0832,1.4043,5
MBQC,702,0.8,1.3038,0,3,0.1552,0.0438,0.0866,0.1922,5
MBQC,712,0.0,0.0,0,0,0.1582,0.0394,0.0923,0.1905,5
MBQC,722,16.8,31.7758,0,73,0.3915,0.5417,0.0585,1.3557,5
MBQC,732,0.6,1.3416,0,3,0.1618,0.0431,0.1077,0.2077,5
MBQC,742,22.4,48.9775,0,110,0.3288,0.3537,0.1125,0.9582,5
MBQC,752,3.4,4.7749,0,10,0.1459,0.0547,0.0768,0.2097,5
MBQC,762,0.4,0.8944,0,2,0.1211,0.0442,0.0903,0.1982,5
MBQC,772,0.0,0.0,0,0,0.1694,0.0726,0.0973,0.2718,5
MBQC,782,4.6,10.2859,0,23,0.1633,0.0585,0.0821,0.2162,5
MBQC,792,0.4,0.8944,0,2,0.1898,0.0557,0.1356,0.2617,5
MBQC,802,0.4,0.8944,0,2,0.1278,0.0461,0.0897,0.2059,5
MBQC,812,1.8,4.0249,0,9,0.1768,0.0565,0.1113,0.2466,5
MBQC,822,1.0,2.2361,0,5,0.2019,0.0767,0.0876,0.3025,5
MBQC,832,3.4,7.6026,0,17,0.1523,0.0502,0.0896,0.2115,5
MBQC,842,4.6,6.8411,0,16,0.1385,0.0454,0.0842,0.1907,5
MBQC,852,0.0,0.0,0,0,0.2394,0.0177,0.2229,0.265,5
MBQC,862,0.2,0.4472,0,1,0.1775,0.0899,0.092,0.3276,5
MBQC,872,2.2,4.9193,0,11,0.2377,0.0784,0.1022,0.3029,5
MBQC,882,2.4,3.5777,0,8,0.173,0.0589,0.1106,0.2516,5
MBQC,892,2.6,4.7223,0,11,0.1929,0.0819,0.1287,0.3314,5
MBQC,902,0.8,1.7889,0,4,0.2552,0.0705,0.1314,0.2992,5
MBQC,912,1.4,2.1909,0,5,0.2223,0.0434,0.1802,0.2819,5
MBQC,922,3.6,7.5033,0,17,0.2441,0.1118,0.1087,0.3974,5
MBQC,932,1.0,2.2361,0,5,0.1965,0.0435,0.1485,0.2498,5
MBQC,942,0.0,0.0,0,0,0.276,0.0545,0.2142,0.3387,5
MBQC,952,1.6,1.5166,0,3,0.2045,0.0725,0.1252,0.3068,5
MBQC,962,3.0,6.7082,0,15,0.2347,0.0801,0.1432,0.3272,5
MBQC,972,5.6,12.522,0,28,0.2226,0.1032,0.105,0.3286,5
