circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
qwalk-noancilla_indep_qiskit_5,5,1771,1766,5,1502,3,1.5,3,1200.0,5262.0,4.385,46.37041687965393,0.3449549674987793,QUBIT-LEVEL,"[2, 3, 0]","[3, 3, 3]","[2, 3, 0]","[3, 0, 2]"
qaoa_indep_qiskit_3,3,51,48,3,42,3,1.0,1,60.0,62.0,1.0333333333333334,0.004166841506958008,0.0005028247833251953,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 1, 0]"
qaoa_indep_qiskit_3,3,51,48,3,42,3,1.1,2,40.0,151.0,3.775,0.016179800033569336,0.00041103363037109375,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
qaoa_indep_qiskit_3,3,51,48,3,42,3,1.2,2,40.0,151.0,3.775,0.015858888626098633,0.00040221214294433594,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
qaoa_indep_qiskit_3,3,51,48,3,42,3,1.3,2,40.0,151.0,3.775,0.015757083892822266,0.00040984153747558594,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
qaoa_indep_qiskit_3,3,51,48,3,42,3,1.4,2,40.0,151.0,3.775,0.015857934951782227,0.0004000663757324219,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
qaoa_indep_qiskit_3,3,51,48,3,42,3,1.5,2,40.0,151.0,3.775,0.01593613624572754,0.0003979206085205078,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
wstate_indep_qiskit_3,3,35,32,3,28,3,1.0,1,40.0,43.0,1.075,0.0029571056365966797,0.00028204917907714844,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 0, 1]"
wstate_indep_qiskit_3,3,35,32,3,28,3,1.1,2,20.0,103.0,5.15,0.011002063751220703,0.0002319812774658203,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[1, 0, 2]"
wstate_indep_qiskit_3,3,35,32,3,28,3,1.2,2,20.0,103.0,5.15,0.01094818115234375,0.00023984909057617188,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[1, 0, 2]"
wstate_indep_qiskit_3,3,35,32,3,28,3,1.3,2,20.0,103.0,5.15,0.011228084564208984,0.0002608299255371094,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[1, 0, 2]"
wstate_indep_qiskit_3,3,35,32,3,28,3,1.4,2,20.0,103.0,5.15,0.011110067367553711,0.0002570152282714844,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[1, 0, 2]"
wstate_indep_qiskit_3,3,35,32,3,28,3,1.5,2,20.0,103.0,5.15,0.010977029800415039,0.00024199485778808594,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[1, 0, 2]"
