circuit,num_qubits,num_nodes,num_quantum_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts
grover-noancilla_indep_qiskit_2,2,6,4,4,3,1.2,1,1,2.0,2.0,0.0002460479736328125,3.719329833984375e-05,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
grover-noancilla_indep_qiskit_3,3,49,46,40,3,1.0,1,8,9.0,1.125,0.0004260540008544922,0.00045800209045410156,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]"
grover-noancilla_indep_qiskit_3,3,49,46,40,3,1.1,2,4,13.0,3.25,0.0011889934539794922,0.0003910064697265625,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
grover-noancilla_indep_qiskit_3,3,49,46,40,3,1.2,2,4,13.0,3.25,0.000804901123046875,0.0006041526794433594,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
su2random_indep_qiskit_3,3,72,69,60,3,1.0,1,11,11.0,1.0,0.0005323886871337891,0.0007889270782470703,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]"
su2random_indep_qiskit_3,3,72,69,60,3,1.1,2,7,22.0,3.142857142857143,0.000827789306640625,0.0007350444793701172,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
su2random_indep_qiskit_3,3,72,69,60,3,1.2,2,7,22.0,3.142857142857143,0.0008540153503417969,0.0007212162017822266,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
pricingput_indep_qiskit_5,5,170,165,139,3,1.0,2,11,28.0,2.5454545454545454,0.006440162658691406,0.004479885101318359,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
pricingput_indep_qiskit_5,5,170,165,139,3,1.1,2,11,28.0,2.5454545454545454,0.0064351558685302734,0.004663944244384766,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
pricingput_indep_qiskit_5,5,170,165,139,3,1.2,2,11,28.0,2.5454545454545454,0.007085084915161133,0.0037958621978759766,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
ae_indep_qiskit_4,4,75,71,62,3,1.0,2,8,25.0,3.125,0.0017561912536621094,0.0007290840148925781,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
ae_indep_qiskit_4,4,75,71,62,3,1.1,2,8,25.0,3.125,0.0016388893127441406,0.0008518695831298828,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
ae_indep_qiskit_4,4,75,71,62,3,1.2,2,8,25.0,3.125,0.0018160343170166016,0.0007050037384033203,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qft_indep_qiskit_4,4,60,56,48,3,1.0,2,6,13.0,2.1666666666666665,0.0012967586517333984,0.0005710124969482422,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qft_indep_qiskit_4,4,60,56,48,3,1.1,2,6,13.0,2.1666666666666665,0.0012879371643066406,0.0004911422729492188,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qft_indep_qiskit_4,4,60,56,48,3,1.2,2,6,13.0,2.1666666666666665,0.0013921260833740234,0.0004899501800537109,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
routing_indep_qiskit_2,2,30,28,25,3,1.0,1,4,5.0,1.25,0.0002799034118652344,0.0002219676971435547,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
routing_indep_qiskit_2,2,30,28,25,3,1.1,1,4,5.0,1.25,0.0002932548522949219,0.00022983551025390625,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
