circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
qwalk-noancilla_indep_qiskit_5,5,1771,1766,5,1502,3,1.1,2,1860.0,4552.0,2.447311827956989,18.88728499412537,0.470045804977417,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[2, 2, 1]"
qwalk-noancilla_indep_qiskit_5,5,1771,1766,5,1502,3,1.2,2,1860.0,4552.0,2.447311827956989,19.213685274124146,0.4769668579101562,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[2, 2, 1]"
qwalk-noancilla_indep_qiskit_5,5,1771,1766,5,1502,3,1.3,3,1200.0,5262.0,4.385,47.08289909362793,0.3801441192626953,QUBIT-LEVEL,"[2, 3, 0]","[3, 3, 3]","[2, 3, 0]","[3, 0, 2]"
qwalk-noancilla_indep_qiskit_5,5,1771,1766,5,1502,3,1.4,3,1200.0,5262.0,4.385,48.58568572998047,0.3642449378967285,QUBIT-LEVEL,"[2, 3, 0]","[3, 3, 3]","[2, 3, 0]","[3, 0, 2]"
qwalk-noancilla_indep_qiskit_5,5,1771,1766,5,1502,3,1.5,3,1200.0,5262.0,4.385,46.37041687965393,0.3449549674987793,QUBIT-LEVEL,"[2, 3, 0]","[3, 3, 3]","[2, 3, 0]","[3, 0, 2]"
qaoa_indep_qiskit_3,3,51,48,3,42,3,1.0,1,60.0,62.0,1.0333333333333334,0.004166841506958,0.0005028247833251,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 1, 0]"
qaoa_indep_qiskit_3,3,51,48,3,42,3,1.1,2,40.0,151.0,3.775,0.0161798000335693,0.000411033630371,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
qaoa_indep_qiskit_3,3,51,48,3,42,3,1.2,2,40.0,151.0,3.775,0.0158588886260986,0.0004022121429443,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
qaoa_indep_qiskit_3,3,51,48,3,42,3,1.3,2,40.0,151.0,3.775,0.0157570838928222,0.0004098415374755,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
qaoa_indep_qiskit_3,3,51,48,3,42,3,1.4,2,40.0,151.0,3.775,0.0158579349517822,0.0004000663757324,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
qaoa_indep_qiskit_3,3,51,48,3,42,3,1.5,2,40.0,151.0,3.775,0.0159361362457275,0.0003979206085205,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
wstate_indep_qiskit_3,3,35,32,3,28,3,1.0,1,40.0,43.0,1.075,0.0029571056365966,0.0002820491790771,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 0, 1]"
wstate_indep_qiskit_3,3,35,32,3,28,3,1.1,2,20.0,103.0,5.15,0.0110020637512207,0.0002319812774658,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[1, 0, 2]"
wstate_indep_qiskit_3,3,35,32,3,28,3,1.2,2,20.0,103.0,5.15,0.0109481811523437,0.0002398490905761,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[1, 0, 2]"
wstate_indep_qiskit_3,3,35,32,3,28,3,1.3,2,20.0,103.0,5.15,0.0112280845642089,0.0002608299255371,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[1, 0, 2]"
wstate_indep_qiskit_3,3,35,32,3,28,3,1.4,2,20.0,103.0,5.15,0.0111100673675537,0.0002570152282714,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[1, 0, 2]"
wstate_indep_qiskit_3,3,35,32,3,28,3,1.5,2,20.0,103.0,5.15,0.010977029800415,0.000241994857788,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[1, 0, 2]"
qpeinexact_indep_qiskit_3,3,34,32,2,27,3,1.0,1,40.0,42.0,1.05,0.0011000633239746,0.0002686977386474,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]","[1, 1, 0]","[0, 0, 2]"
