circuit,overhead,cut_cost,num_qubits,num_nodes,num_hyperedges,k,cap
twolocalrandom_indep_qiskit_26,1.5,42,6006,0,0,4,2252
twolocalrandom_indep_qiskit_26,2.0,42,6006,0,0,4,3003
qwalk-v-chain_indep_qiskit_19,1.0,30,4509,0,0,4,1127
qwalk-v-chain_indep_qiskit_19,1.1,30,4509,0,0,4,1239
qwalk-v-chain_indep_qiskit_19,1.2,30,4509,0,0,4,1352
qwalk-v-chain_indep_qiskit_19,1.3,30,4509,0,0,4,1465
qwalk-v-chain_indep_qiskit_19,1.5,30,4509,0,0,4,1690
qwalk-v-chain_indep_qiskit_19,2.0,30,4509,0,0,4,2254
ae_indep_qiskit_83,1.0,141,21405,0,0,4,5351
ae_indep_qiskit_83,1.1,141,21405,0,0,4,5886
ae_indep_qiskit_83,1.2,141,21405,0,0,4,6421
ae_indep_qiskit_83,1.3,141,21405,0,0,4,6956
ae_indep_qiskit_83,1.5,141,21405,0,0,4,8026
ae_indep_qiskit_83,2.0,141,21405,0,0,4,10702
ae_indep_qiskit_122,1.0,210,45741,0,0,4,11435
ae_indep_qiskit_122,1.1,210,45741,0,0,4,12578
ae_indep_qiskit_122,1.2,210,45741,0,0,4,13722
ae_indep_qiskit_122,1.3,210,45741,0,0,4,14865
ae_indep_qiskit_122,1.5,210,45741,0,0,4,17152
ae_indep_qiskit_122,2.0,210,45741,0,0,4,22870
ae_indep_qiskit_97,1.0,166,29091,0,0,4,7272
ae_indep_qiskit_97,1.1,166,29091,0,0,4,8000
ae_indep_qiskit_97,1.2,166,29091,0,0,4,8727
ae_indep_qiskit_97,1.3,166,29091,0,0,4,9454
ae_indep_qiskit_97,1.5,166,29091,0,0,4,10909
ae_indep_qiskit_97,2.0,166,29091,0,0,4,14545
qwalk-v-chain_indep_qiskit_25,1.0,78,7941,0,0,4,1985
qwalk-v-chain_indep_qiskit_25,1.1,78,7941,0,0,4,2183
qwalk-v-chain_indep_qiskit_25,1.2,78,7941,0,0,4,2382
qwalk-v-chain_indep_qiskit_25,1.3,78,7941,0,0,4,2580
qwalk-v-chain_indep_qiskit_25,1.5,78,7941,0,0,4,2977
qwalk-v-chain_indep_qiskit_25,2.0,78,7941,0,0,4,3970
su2random_indep_qiskit_42,1.0,70,15750,0,0,4,3937
su2random_indep_qiskit_42,1.1,70,15750,0,0,4,4331
su2random_indep_qiskit_42,1.2,70,15750,0,0,4,4725
su2random_indep_qiskit_42,1.3,70,15750,0,0,4,5118
su2random_indep_qiskit_42,1.5,70,15750,0,0,4,5906
su2random_indep_qiskit_42,2.0,70,15750,0,0,4,7875
su2random_indep_qiskit_56,1.0,42,28056,0,0,4,7014
