circuit,num_qubits,num_nodes,num_quantum_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts
twolocalrandom_indep_qiskit_5,5,210,205,175,3,1.0,2,27.0,27.0,1.0,0.00952601432800293,0.006006002426147461,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
twolocalrandom_indep_qiskit_5,5,210,205,175,3,1.1,2,27.0,27.0,1.0,0.009492158889770508,0.0060520172119140625,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
twolocalrandom_indep_qiskit_5,5,210,205,175,3,1.2,2,27.0,27.0,1.0,0.009453773498535156,0.006140947341918945,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qpeinexact_indep_qiskit_11,11,402,392,331,3,1.0,4,46.0,46.0,1.0,6.532560110092163,0.019614219665527344,QUBIT-LEVEL,"[4, 4, 3]","[4, 4, 4]"
qpeinexact_indep_qiskit_11,11,402,392,331,3,1.1,5,41.0,64.0,1.5609756097560976,20.50961709022522,0.016946077346801758,QUBIT-LEVEL,"[5, 5, 1]","[5, 5, 5]"
qpeinexact_indep_qiskit_11,11,402,392,331,3,1.2,5,41.0,64.0,1.5609756097560976,20.583372116088867,0.017235994338989258,QUBIT-LEVEL,"[5, 5, 1]","[5, 5, 5]"
qaoa_indep_qiskit_4,4,68,64,56,3,1.0,2,6.0,9.0,1.5,0.0023348331451416016,0.000701904296875,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qaoa_indep_qiskit_4,4,68,64,56,3,1.1,2,6.0,9.0,1.5,0.0019540786743164062,0.0007967948913574219,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qaoa_indep_qiskit_4,4,68,64,56,3,1.2,2,6.0,9.0,1.5,0.0018849372863769531,0.0007810592651367188,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qwalk-v-chain_indep_qiskit_3,3,109,106,88,3,1.0,1,14.0,14.0,1.0,0.0007867813110351562,0.0018360614776611328,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]"
