workload_file,origin,n_qubits,k_partitions,best_method,best_cost
qftentangled_indep_qiskit_16.qasm,MQTBench,16,2,greedy_hdh,77
qftentangled_indep_qiskit_16.qasm,MQTBench,16,3,greedy_hdh,96
qftentangled_indep_qiskit_16.qasm,MQTBench,16,4,greedy_hdh,110
qftentangled_indep_qiskit_17.qasm,MQTBench,17,2,greedy_hdh,85
qftentangled_indep_qiskit_17.qasm,MQTBench,17,3,greedy_hdh,106
qftentangled_indep_qiskit_17.qasm,MQTBench,17,4,greedy_hdh,121
qftentangled_indep_qiskit_18.qasm,MQTBench,18,2,greedy_hdh,93
qftentangled_indep_qiskit_18.qasm,MQTBench,18,3,greedy_hdh,123
qftentangled_indep_qiskit_18.qasm,MQTBench,18,4,greedy_hdh,140
qftentangled_indep_qiskit_19.qasm,MQTBench,19,2,greedy_hdh,105
qftentangled_indep_qiskit_19.qasm,MQTBench,19,3,greedy_hdh,133
qftentangled_indep_qiskit_19.qasm,MQTBench,19,4,greedy_hdh,151
qftentangled_indep_qiskit_20.qasm,MQTBench,20,2,greedy_hdh,115
qftentangled_indep_qiskit_20.qasm,MQTBench,20,3,greedy_hdh,147
qftentangled_indep_qiskit_20.qasm,MQTBench,20,4,greedy_hdh,172
qnn_indep_qiskit_11.qasm,MQTBench,11,2,greedy_hdh,122
qnn_indep_qiskit_11.qasm,MQTBench,11,3,greedy_hdh,164
qnn_indep_qiskit_11.qasm,MQTBench,11,4,greedy_hdh,185
qnn_indep_qiskit_12.qasm,MQTBench,12,2,greedy_hdh,150
qnn_indep_qiskit_12.qasm,MQTBench,12,3,greedy_hdh,199
qnn_indep_qiskit_12.qasm,MQTBench,12,4,greedy_hdh,223
qnn_indep_qiskit_13.qasm,MQTBench,13,2,greedy_hdh,170
qnn_indep_qiskit_13.qasm,MQTBench,13,3,greedy_hdh,229
qnn_indep_qiskit_13.qasm,MQTBench,13,4,greedy_hdh,251
qnn_indep_qiskit_14.qasm,MQTBench,14,2,greedy_hdh,198
qnn_indep_qiskit_14.qasm,MQTBench,14,3,greedy_hdh,264
qnn_indep_qiskit_14.qasm,MQTBench,14,4,greedy_hdh,295
qnn_indep_qiskit_15.qasm,MQTBench,15,2,greedy_hdh,228
qnn_indep_qiskit_15.qasm,MQTBench,15,3,greedy_hdh,309
qnn_indep_qiskit_15.qasm,MQTBench,15,4,greedy_hdh,343
qnn_indep_qiskit_16.qasm,MQTBench,16,2,greedy_hdh,262
qnn_indep_qiskit_16.qasm,MQTBench,16,3,greedy_hdh,343
qnn_indep_qiskit_16.qasm,MQTBench,16,4,greedy_hdh,393
qnn_indep_qiskit_17.qasm,MQTBench,17,2,greedy_hdh,297
qnn_indep_qiskit_17.qasm,MQTBench,17,3,greedy_hdh,392
qnn_indep_qiskit_17.qasm,MQTBench,17,4,greedy_hdh,429
qnn_indep_qiskit_18.qasm,MQTBench,18,2,greedy_hdh,332
qnn_indep_qiskit_18.qasm,MQTBench,18,3,greedy_hdh,443
qnn_indep_qiskit_18.qasm,MQTBench,18,4,greedy_hdh,492
qnn_indep_qiskit_19.qasm,MQTBench,19,2,greedy_hdh,366
qnn_indep_qiskit_19.qasm,MQTBench,19,3,greedy_hdh,488
qnn_indep_qiskit_19.qasm,MQTBench,19,4,greedy_hdh,551
qnn_indep_qiskit_20.qasm,MQTBench,20,2,greedy_hdh,412
qnn_indep_qiskit_20.qasm,MQTBench,20,3,greedy_hdh,545
qnn_indep_qiskit_20.qasm,MQTBench,20,4,greedy_hdh,612
qpeexact_indep_qiskit_11.qasm,MQTBench,11,2,greedy_hdh,31
qpeexact_indep_qiskit_11.qasm,MQTBench,11,3,greedy_hdh,44
qpeexact_indep_qiskit_11.qasm,MQTBench,11,4,greedy_hdh,47
qpeexact_indep_qiskit_12.qasm,MQTBench,12,2,greedy_hdh,39
qpeexact_indep_qiskit_12.qasm,MQTBench,12,3,greedy_hdh,51
qpeexact_indep_qiskit_12.qasm,MQTBench,12,4,greedy_hdh,57
qpeexact_indep_qiskit_13.qasm,MQTBench,13,2,greedy_hdh,43
qpeexact_indep_qiskit_13.qasm,MQTBench,13,3,greedy_hdh,57
qpeexact_indep_qiskit_13.qasm,MQTBench,13,4,greedy_hdh,64
qpeexact_indep_qiskit_14.qasm,MQTBench,14,2,greedy_hdh,51
qpeexact_indep_qiskit_14.qasm,MQTBench,14,3,greedy_hdh,66
qpeexact_indep_qiskit_14.qasm,MQTBench,14,4,greedy_hdh,75
qpeexact_indep_qiskit_15.qasm,MQTBench,15,2,greedy_hdh,60
qpeexact_indep_qiskit_15.qasm,MQTBench,15,3,greedy_hdh,79
qpeexact_indep_qiskit_15.qasm,MQTBench,15,4,greedy_hdh,91
qpeexact_indep_qiskit_16.qasm,MQTBench,16,2,greedy_hdh,68
qpeexact_indep_qiskit_16.qasm,MQTBench,16,3,greedy_hdh,88
qpeexact_indep_qiskit_16.qasm,MQTBench,16,4,greedy_hdh,101
qpeexact_indep_qiskit_17.qasm,MQTBench,17,2,greedy_hdh,77
qpeexact_indep_qiskit_17.qasm,MQTBench,17,3,greedy_hdh,101
qpeexact_indep_qiskit_17.qasm,MQTBench,17,4,greedy_hdh,112
qpeexact_indep_qiskit_18.qasm,MQTBench,18,2,greedy_hdh,86
qpeexact_indep_qiskit_18.qasm,MQTBench,18,3,greedy_hdh,114
qpeexact_indep_qiskit_18.qasm,MQTBench,18,4,greedy_hdh,126
