workload_file,model,origin,n_qubits,k_partitions,best_method,best_cost,second_method,second_cost,methods_tested
ae_indep_qiskit_26.qasm,Circuit,MQTBench,26,4,greedy_hdh,271,,,1
ae_indep_qiskit_27.qasm,Circuit,MQTBench,27,2,greedy_hdh,195,,,1
ae_indep_qiskit_27.qasm,Circuit,MQTBench,27,3,greedy_hdh,261,,,1
ae_indep_qiskit_27.qasm,Circuit,MQTBench,27,4,greedy_hdh,294,,,1
ae_indep_qiskit_28.qasm,Circuit,MQTBench,28,2,greedy_hdh,210,,,1
ae_indep_qiskit_28.qasm,Circuit,MQTBench,28,3,greedy_hdh,278,,,1
ae_indep_qiskit_28.qasm,Circuit,MQTBench,28,4,greedy_hdh,315,,,1
ae_indep_qiskit_29.qasm,Circuit,MQTBench,29,2,greedy_hdh,225,,,1
ae_indep_qiskit_29.qasm,Circuit,MQTBench,29,3,greedy_hdh,300,,,1
ae_indep_qiskit_29.qasm,Circuit,MQTBench,29,4,greedy_hdh,336,,,1
ae_indep_qiskit_3.qasm,Circuit,MQTBench,3,2,greedy_hdh,4,,,1
ae_indep_qiskit_3.qasm,Circuit,MQTBench,3,3,greedy_hdh,5,,,1
ae_indep_qiskit_3.qasm,Circuit,MQTBench,3,4,greedy_hdh,5,,,1
ae_indep_qiskit_30.qasm,Circuit,MQTBench,30,2,greedy_hdh,240,,,1
ae_indep_qiskit_30.qasm,Circuit,MQTBench,30,3,greedy_hdh,320,,,1
ae_indep_qiskit_30.qasm,Circuit,MQTBench,30,4,greedy_hdh,358,,,1
ae_indep_qiskit_31.qasm,Circuit,MQTBench,31,2,greedy_hdh,255,,,1
ae_indep_qiskit_31.qasm,Circuit,MQTBench,31,3,greedy_hdh,339,,,1
ae_indep_qiskit_31.qasm,Circuit,MQTBench,31,4,greedy_hdh,383,,,1
ae_indep_qiskit_32.qasm,Circuit,MQTBench,32,2,greedy_hdh,272,,,1
ae_indep_qiskit_32.qasm,Circuit,MQTBench,32,3,greedy_hdh,363,,,1
ae_indep_qiskit_32.qasm,Circuit,MQTBench,32,4,greedy_hdh,408,,,1
ae_indep_qiskit_33.qasm,Circuit,MQTBench,33,2,greedy_hdh,289,,,1
ae_indep_qiskit_33.qasm,Circuit,MQTBench,33,3,greedy_hdh,385,,,1
ae_indep_qiskit_33.qasm,Circuit,MQTBench,33,4,greedy_hdh,429,,,1
ae_indep_qiskit_34.qasm,Circuit,MQTBench,34,2,greedy_hdh,306,,,1
ae_indep_qiskit_34.qasm,Circuit,MQTBench,34,3,greedy_hdh,408,,,1
ae_indep_qiskit_34.qasm,Circuit,MQTBench,34,4,greedy_hdh,459,,,1
ae_indep_qiskit_35.qasm,Circuit,MQTBench,35,2,greedy_hdh,324,,,1
ae_indep_qiskit_35.qasm,Circuit,MQTBench,35,3,greedy_hdh,431,,,1
ae_indep_qiskit_35.qasm,Circuit,MQTBench,35,4,greedy_hdh,486,,,1
ae_indep_qiskit_36.qasm,Circuit,MQTBench,36,2,greedy_hdh,342,,,1
