workload_file,model,origin,n_qubits,best_method,best_cost,win_margin,methods_tested
dj_indep_qiskit_67.qasm,Circuit,MQTBench,67,greedy_hdh,34,0,1
dj_indep_qiskit_68.qasm,Circuit,MQTBench,68,greedy_hdh,34,0,1
dj_indep_qiskit_69.qasm,Circuit,MQTBench,69,greedy_hdh,35,0,1
dj_indep_qiskit_7.qasm,Circuit,MQTBench,7,greedy_hdh,4,0,1
dj_indep_qiskit_70.qasm,Circuit,MQTBench,70,greedy_hdh,35,0,1
dj_indep_qiskit_71.qasm,Circuit,MQTBench,71,greedy_hdh,35,0,1
dj_indep_qiskit_72.qasm,Circuit,MQTBench,72,greedy_hdh,36,0,1
dj_indep_qiskit_73.qasm,Circuit,MQTBench,73,greedy_hdh,36,0,1
dj_indep_qiskit_74.qasm,Circuit,MQTBench,74,greedy_hdh,37,0,1
dj_indep_qiskit_75.qasm,Circuit,MQTBench,75,greedy_hdh,37,0,1
dj_indep_qiskit_76.qasm,Circuit,MQTBench,76,greedy_hdh,38,0,1
dj_indep_qiskit_77.qasm,Circuit,MQTBench,77,greedy_hdh,38,0,1
dj_indep_qiskit_78.qasm,Circuit,MQTBench,78,greedy_hdh,39,0,1
dj_indep_qiskit_79.qasm,Circuit,MQTBench,79,greedy_hdh,40,0,1
dj_indep_qiskit_8.qasm,Circuit,MQTBench,8,greedy_hdh,4,0,1
dj_indep_qiskit_80.qasm,Circuit,MQTBench,80,greedy_hdh,40,0,1
dj_indep_qiskit_81.qasm,Circuit,MQTBench,81,greedy_hdh,41,0,1
dj_indep_qiskit_82.qasm,Circuit,MQTBench,82,greedy_hdh,41,0,1
dj_indep_qiskit_83.qasm,Circuit,MQTBench,83,greedy_hdh,42,0,1
dj_indep_qiskit_84.qasm,Circuit,MQTBench,84,greedy_hdh,42,0,1
dj_indep_qiskit_85.qasm,Circuit,MQTBench,85,greedy_hdh,43,0,1
dj_indep_qiskit_86.qasm,Circuit,MQTBench,86,greedy_hdh,43,0,1
dj_indep_qiskit_87.qasm,Circuit,MQTBench,87,greedy_hdh,44,0,1
dj_indep_qiskit_88.qasm,Circuit,MQTBench,88,greedy_hdh,44,0,1
dj_indep_qiskit_89.qasm,Circuit,MQTBench,89,greedy_hdh,45,0,1
dj_indep_qiskit_9.qasm,Circuit,MQTBench,9,greedy_hdh,4,0,1
dj_indep_qiskit_90.qasm,Circuit,MQTBench,90,greedy_hdh,45,0,1
dj_indep_qiskit_91.qasm,Circuit,MQTBench,91,greedy_hdh,46,0,1
dj_indep_qiskit_92.qasm,Circuit,MQTBench,92,greedy_hdh,46,0,1
dj_indep_qiskit_93.qasm,Circuit,MQTBench,93,greedy_hdh,47,0,1
dj_indep_qiskit_94.qasm,Circuit,MQTBench,94,greedy_hdh,47,0,1
dj_indep_qiskit_95.qasm,Circuit,MQTBench,95,greedy_hdh,48,0,1
dj_indep_qiskit_96.qasm,Circuit,MQTBench,96,greedy_hdh,48,0,1
dj_indep_qiskit_97.qasm,Circuit,MQTBench,97,greedy_hdh,49,0,1
dj_indep_qiskit_98.qasm,Circuit,MQTBench,98,greedy_hdh,49,0,1
dj_indep_qiskit_99.qasm,Circuit,MQTBench,99,greedy_hdh,50,0,1
ghz_indep_qiskit_10.qasm,Circuit,MQTBench,10,greedy_hdh,1,0,1
ghz_indep_qiskit_100.qasm,Circuit,MQTBench,100,greedy_hdh,3,0,1
ghz_indep_qiskit_101.qasm,Circuit,MQTBench,101,greedy_hdh,4,0,1
ghz_indep_qiskit_102.qasm,Circuit,MQTBench,102,greedy_hdh,4,0,1
ghz_indep_qiskit_103.qasm,Circuit,MQTBench,103,greedy_hdh,4,0,1
ghz_indep_qiskit_104.qasm,Circuit,MQTBench,104,greedy_hdh,4,0,1
ghz_indep_qiskit_105.qasm,Circuit,MQTBench,105,greedy_hdh,4,0,1
ghz_indep_qiskit_106.qasm,Circuit,MQTBench,106,greedy_hdh,4,0,1
ghz_indep_qiskit_107.qasm,Circuit,MQTBench,107,greedy_hdh,4,0,1
ghz_indep_qiskit_108.qasm,Circuit,MQTBench,108,greedy_hdh,4,0,1
ghz_indep_qiskit_109.qasm,Circuit,MQTBench,109,greedy_hdh,4,0,1
ghz_indep_qiskit_11.qasm,Circuit,MQTBench,11,greedy_hdh,2,0,1
ghz_indep_qiskit_110.qasm,Circuit,MQTBench,110,greedy_hdh,4,0,1
ghz_indep_qiskit_111.qasm,Circuit,MQTBench,111,greedy_hdh,4,0,1
ghz_indep_qiskit_112.qasm,Circuit,MQTBench,112,greedy_hdh,4,0,1
ghz_indep_qiskit_113.qasm,Circuit,MQTBench,113,greedy_hdh,4,0,1
ghz_indep_qiskit_114.qasm,Circuit,MQTBench,114,greedy_hdh,4,0,1
ghz_indep_qiskit_115.qasm,Circuit,MQTBench,115,greedy_hdh,4,0,1
ghz_indep_qiskit_116.qasm,Circuit,MQTBench,116,greedy_hdh,4,0,1
ghz_indep_qiskit_117.qasm,Circuit,MQTBench,117,greedy_hdh,4,0,1
ghz_indep_qiskit_118.qasm,Circuit,MQTBench,118,greedy_hdh,4,0,1
ghz_indep_qiskit_119.qasm,Circuit,MQTBench,119,greedy_hdh,4,0,1
ghz_indep_qiskit_12.qasm,Circuit,MQTBench,12,greedy_hdh,2,0,1
ghz_indep_qiskit_120.qasm,Circuit,MQTBench,120,greedy_hdh,4,0,1
ghz_indep_qiskit_121.qasm,Circuit,MQTBench,121,greedy_hdh,4,0,1
ghz_indep_qiskit_122.qasm,Circuit,MQTBench,122,greedy_hdh,4,0,1
ghz_indep_qiskit_123.qasm,Circuit,MQTBench,123,greedy_hdh,4,0,1
ghz_indep_qiskit_124.qasm,Circuit,MQTBench,124,greedy_hdh,4,0,1
ghz_indep_qiskit_125.qasm,Circuit,MQTBench,125,greedy_hdh,4,0,1
ghz_indep_qiskit_126.qasm,Circuit,MQTBench,126,greedy_hdh,4,0,1
ghz_indep_qiskit_127.qasm,Circuit,MQTBench,127,greedy_hdh,4,0,1
ghz_indep_qiskit_128.qasm,Circuit,MQTBench,128,greedy_hdh,4,0,1
ghz_indep_qiskit_129.qasm,Circuit,MQTBench,129,greedy_hdh,4,0,1
